"Artwork","Year","Century","TimeSpan"
"http://icondataset.org/ART1043","10","XI","1100"
"http://icondataset.org/ART1014","11","XII","xii century"
"http://icondataset.org/ART1141","12","XIII","1215"
"http://icondataset.org/ART1142","12","XIII","1227"
"http://icondataset.org/ART1143","12","XIII","1257"
"http://icondataset.org/ART1064","12","XIII","1289"
"http://icondataset.org/ART1055","12","XIII","1300"
"http://icondataset.org/ART1056","12","XIII","1300"
"http://icondataset.org/ART1058","12","XIII","1300"
"http://icondataset.org/ART1042","13","XIV","xiv century"
"http://icondataset.org/ART1057","13","XIV","early xiv century"
"http://icondataset.org/ART1053","13","XIV","middle xiv century"
"http://icondataset.org/ART1054","13","XIV","1350 1360"
"http://icondataset.org/ART1066","13","XIV","third quarter of the xiv century"
"http://icondataset.org/ART1052","13","XIV","1380"
"http://icondataset.org/ART1004test","14","XV","xv century"
"http://icondataset.org/ART1034","14","XV","early xv century"
"http://icondataset.org/ART1147","14","XV","1403"
"http://icondataset.org/ART1021","14","XV","1420"
"http://icondataset.org/ART1045","14","XV","1430"
"http://icondataset.org/ART1048","14","XV","middle xv century"
"http://icondataset.org/ART1050","14","XV","1465"
"http://icondataset.org/ART1033","14","XV","1490"
"http://icondataset.org/ART1005test","16","XVII","1622"
"http://icondataset.org/ART1240","9","X","x century"
