Artwork,Subject,Year,Century,TimeSpan
http://icondataset.org/ART1004test,http://icondataset.org/cerberus,14,XV,xv century
http://icondataset.org/ART1004test,http://icondataset.org/pluto,14,XV,xv century
http://icondataset.org/ART1004test,http://icondataset.org/proserpina,14,XV,xv century
http://icondataset.org/ART1004test,http://icondataset.org/rape,14,XV,xv century
http://icondataset.org/ART1005test,http://icondataset.org/cerberus,16,XVII,1622
http://icondataset.org/ART1005test,http://icondataset.org/pluto,16,XVII,1622
http://icondataset.org/ART1005test,http://icondataset.org/proserpina,16,XVII,1622
http://icondataset.org/ART1005test,http://icondataset.org/rape,16,XVII,1622
http://icondataset.org/ART1014,http://icondataset.org/the-constellation-hercules,11,XII,xii century
http://icondataset.org/ART1021,http://icondataset.org/mercury,14,XV,1420
http://icondataset.org/ART1021,http://icondataset.org/argus,14,XV,1420
http://icondataset.org/ART1021,http://icondataset.org/caduceus,14,XV,1420
http://icondataset.org/ART1033,http://icondataset.org/mercury,14,XV,1490
http://icondataset.org/ART1033,http://icondataset.org/the-virgin-constellation,14,XV,1490
http://icondataset.org/ART1033,http://icondataset.org/the-children-of-mercury,14,XV,1490
http://icondataset.org/ART1034,http://icondataset.org/mercury,14,XV,early xv century
http://icondataset.org/ART1034,http://icondataset.org/the-children-of-mercury,14,XV,early xv century
http://icondataset.org/ART1034,http://icondataset.org/heaven,14,XV,early xv century
http://icondataset.org/ART1042,http://icondataset.org/laocoon,13,XIV,xiv century
http://icondataset.org/ART1042,http://icondataset.org/sacrifice-of-a-bull-ancient-greek-religion,13,XIV,xiv century
http://icondataset.org/ART1042,http://icondataset.org/thymbraeus-son-of-laoocoon,13,XIV,xiv century
http://icondataset.org/ART1042,http://icondataset.org/antiphas-son-of-laoocoon,13,XIV,xiv century
http://icondataset.org/ART1042,http://icondataset.org/marine-snakes,13,XIV,xiv century
http://icondataset.org/ART1043,http://icondataset.org/saturn,10,XI,1100
http://icondataset.org/ART1043,http://icondataset.org/jupiter,10,XI,1100
http://icondataset.org/ART1043,http://icondataset.org/apollo,10,XI,1100
http://icondataset.org/ART1043,http://icondataset.org/the-three-graces,10,XI,1100
http://icondataset.org/ART1043,http://icondataset.org/dragon-biting-its-tail-time,10,XI,1100
http://icondataset.org/ART1054,http://icondataset.org/hecuba,13,XIV,1350 1360
http://icondataset.org/ART1054,http://icondataset.org/troilus,13,XIV,1350 1360
http://icondataset.org/ART1055,http://icondataset.org/polyxena,12,XIII,1300
http://icondataset.org/ART1056,http://icondataset.org/polyxena,12,XIII,1300
http://icondataset.org/ART1064,http://icondataset.org/thisbe,12,XIII,1289
http://icondataset.org/ART1064,http://icondataset.org/thisbe-waits-pyramus-at-the-tomb-of-king-ninus,12,XIII,1289
http://icondataset.org/ART1064,http://icondataset.org/the-tomb-of-king-ninus,12,XIII,1289
http://icondataset.org/ART1066,http://icondataset.org/europa-human-soul,13,XIV,third quarter of the xiv century
http://icondataset.org/ART1066,http://icondataset.org/bull-christ,13,XIV,third quarter of the xiv century
http://icondataset.org/ART1066,http://icondataset.org/europas-companions,13,XIV,third quarter of the xiv century
http://icondataset.org/ART1066,http://icondataset.org/the-abduction-of-europa,13,XIV,third quarter of the xiv century
http://icondataset.org/ART1141,http://icondataset.org/virgil,12,XIII,1215
http://icondataset.org/ART1142,http://icondataset.org/virgil,12,XIII,1227
http://icondataset.org/ART1143,http://icondataset.org/virgil,12,XIII,1257
http://icondataset.org/ART1147,http://icondataset.org/mercury,14,XV,1403
http://icondataset.org/ART1240,http://icondataset.org/aeneas,9,X,x century
http://icondataset.org/ART1240,http://icondataset.org/dido,9,X,x century
