Artwork,Subject
http://icondataset.org/ART1004test,http://icondataset.org/cerberus
http://icondataset.org/ART1004test,http://icondataset.org/pluto
http://icondataset.org/ART1004test,http://icondataset.org/proserpina
http://icondataset.org/ART1004test,http://icondataset.org/rape
http://icondataset.org/ART1005test,http://icondataset.org/cerberus
http://icondataset.org/ART1005test,http://icondataset.org/pluto
http://icondataset.org/ART1005test,http://icondataset.org/proserpina
http://icondataset.org/ART1005test,http://icondataset.org/rape
http://icondataset.org/ART1014,http://icondataset.org/the-constellation-hercules
http://icondataset.org/ART1021,http://icondataset.org/mercury
http://icondataset.org/ART1021,http://icondataset.org/argus
http://icondataset.org/ART1021,http://icondataset.org/caduceus
http://icondataset.org/ART1033,http://icondataset.org/mercury
http://icondataset.org/ART1033,http://icondataset.org/the-virgin-constellation
http://icondataset.org/ART1033,http://icondataset.org/the-children-of-mercury
http://icondataset.org/ART1034,http://icondataset.org/mercury
http://icondataset.org/ART1034,http://icondataset.org/the-children-of-mercury
http://icondataset.org/ART1034,http://icondataset.org/heaven
http://icondataset.org/ART1040,http://icondataset.org/sun
http://icondataset.org/ART1040,http://icondataset.org/moon
http://icondataset.org/ART1040,http://icondataset.org/crucifixion
http://icondataset.org/ART1042,http://icondataset.org/laocoon
http://icondataset.org/ART1042,http://icondataset.org/sacrifice-of-a-bull-ancient-greek-religion
http://icondataset.org/ART1042,http://icondataset.org/thymbraeus-son-of-laoocoon
http://icondataset.org/ART1042,http://icondataset.org/antiphas-son-of-laoocoon
http://icondataset.org/ART1042,http://icondataset.org/marine-snakes
http://icondataset.org/ART1043,http://icondataset.org/saturn
http://icondataset.org/ART1043,http://icondataset.org/jupiter
http://icondataset.org/ART1043,http://icondataset.org/apollo
http://icondataset.org/ART1043,http://icondataset.org/the-three-graces
http://icondataset.org/ART1043,http://icondataset.org/dragon-biting-its-tail-time
http://icondataset.org/ART1054,http://icondataset.org/hecuba
http://icondataset.org/ART1054,http://icondataset.org/troilus
http://icondataset.org/ART1055,http://icondataset.org/polyxena
http://icondataset.org/ART1056,http://icondataset.org/polyxena
http://icondataset.org/ART1064,http://icondataset.org/thisbe
http://icondataset.org/ART1064,http://icondataset.org/thisbe-waits-pyramus-at-the-tomb-of-king-ninus
http://icondataset.org/ART1064,http://icondataset.org/the-tomb-of-king-ninus
http://icondataset.org/ART1066,http://icondataset.org/europa-human-soul
http://icondataset.org/ART1066,http://icondataset.org/bull-christ
http://icondataset.org/ART1066,http://icondataset.org/europas-companions
http://icondataset.org/ART1066,http://icondataset.org/the-abduction-of-europa
http://icondataset.org/ART1141,http://icondataset.org/virgil
http://icondataset.org/ART1142,http://icondataset.org/virgil
http://icondataset.org/ART1143,http://icondataset.org/virgil
http://icondataset.org/ART1147,http://icondataset.org/mercury
http://icondataset.org/ART1240,http://icondataset.org/aeneas
http://icondataset.org/ART1240,http://icondataset.org/dido
