"Date","Artwork","Level1Representation"
"1023","http://icondataset.org/ART1041","killing a serpent"
"1023","http://icondataset.org/ART1041","staff"
"1023","http://icondataset.org/ART1041","serpent"
"1023","http://icondataset.org/ART1041","bird"
"1023","http://icondataset.org/ART1041","man"
"1403","http://icondataset.org/ART1147","cleric"
"1403","http://icondataset.org/ART1147","reading"
"1403","http://icondataset.org/ART1147","book"
"1403","http://icondataset.org/ART1147","holding"
"1403","http://icondataset.org/ART1147","musical instrument"
"1420","http://icondataset.org/ART1021","playing music"
"1420","http://icondataset.org/ART1021","man"
"1420","http://icondataset.org/ART1021","flute"
"1420","http://icondataset.org/ART1021","staff"
"1420","http://icondataset.org/ART1021","serpents"
"1420","http://icondataset.org/ART1021","wings"
"1420","http://icondataset.org/ART1021","lance"
"1420","http://icondataset.org/ART1021","sword"
"1420","http://icondataset.org/ART1021","cutten head"
"1420","http://icondataset.org/ART1021","eyes"
"1478","http://icondataset.org/ART1203","man"
"1478","http://icondataset.org/ART1203","indifference"
"1478","http://icondataset.org/ART1203","raising the right hand"
"1478","http://icondataset.org/ART1203","stick with two coiled snakes"
"1478","http://icondataset.org/ART1203","endeavoring to dispel the wisps of mist"
"1478","http://icondataset.org/ART1203","mist"
"1480","http://icondataset.org/ART1046","man"
"1480","http://icondataset.org/ART1046","cock"
"1480","http://icondataset.org/ART1046","flute"
"1480","http://icondataset.org/ART1046","playing music"
"1480","http://icondataset.org/ART1046","sword"
"1490","http://icondataset.org/ART1033","man"
"1490","http://icondataset.org/ART1033","riding a horse"
"1490","http://icondataset.org/ART1033","horse"
"1490","http://icondataset.org/ART1033","protecting people below"
"1545","http://icondataset.org/ART1201","man"
"1545","http://icondataset.org/ART1201","winged hat"
"1554","http://icondataset.org/ART1316","man"
"1417","http://icondataset.org/ART1034","man"
"1417","http://icondataset.org/ART1034","sitting down"
"1417","http://icondataset.org/ART1034","rainbow"
"1417","http://icondataset.org/ART1034","sky"
"1350","http://icondataset.org/ART1030","bishop"
"1350","http://icondataset.org/ART1030","crosier"
"1350","http://icondataset.org/ART1030","book"
"1350","http://icondataset.org/ART1030","holding"
"1450","http://icondataset.org/ART1315","man"
