"Date","Century","Artwork","Level1Representation"
"11","XI Century","killing a serpent","1"
"11","XI Century","staff","1"
"11","XI Century","serpent","1"
"11","XI Century","bird","1"
"11","XI Century","man","1"
"15","XV Century","cleric","1"
"15","XV Century","reading","1"
"15","XV Century","book","1"
"15","XV Century","holding","1"
"15","XV Century","musical instrument","1"
"15","XV Century","playing music","2"
"15","XV Century","man","6"
"15","XV Century","flute","2"
"15","XV Century","staff","1"
"15","XV Century","serpents","1"
"15","XV Century","wings","1"
"15","XV Century","lance","1"
"15","XV Century","sword","2"
"15","XV Century","cutten head","1"
"15","XV Century","eyes","1"
"15","XV Century","indifference","1"
"15","XV Century","raising the right hand","1"
"15","XV Century","stick with two coiled snakes","1"
"15","XV Century","endeavoring to dispel the wisps of mist","1"
"15","XV Century","mist","1"
"15","XV Century","cock","1"
"15","XV Century","riding a horse","1"
"15","XV Century","horse","1"
"15","XV Century","protecting people below","1"
"15","XV Century","sitting down","1"
"15","XV Century","rainbow","1"
"15","XV Century","sky","1"
"16","XVI Century","man","2"
"16","XVI Century","winged hat","1"
"14","XIV Century","bishop","1"
"14","XIV Century","crosier","1"
"14","XIV Century","book","1"
"14","XIV Century","holding","1"
