"Action","Link"
"act of blessing",""
"act of killing",""
"act of throwing",""
"act of weighing",""
"adoring",""
"aguing",""
"animating",""
"appearing",""
"appearing in the sky",""
"arranging her hair",""
"attacking",""
"attending to the little ones",""
"backward turning movement",""
"barking",""
"bathing",""
"bearing",""
"being torned between",""
"bending",""
"blindfolding",""
"blinding",""
"blowing",""
"blowing in a tube",""
"bridling",""
"burning",""
"carrying",""
"carrying off",""
"carrying on shoulders",""
"castrating","https://iconclass.org/33C71"
"chasing away",""
"climbed on",""
"climbing",""
"coming out from inside",""
"concealing",""
"covering her eyes",""
"covering her nudity with arms",""
"covering herself",""
"creating",""
"crossing",""
"crouching down",""
"crushing",""
"cutting the purse",""
"dancing",""
"dancing in circle",""
"descending",""
"devouring",""
"discussing",""
"displaying",""
"dove flying in the beams of light",""
"drawing the bow",""
"drawing up her feet",""
"driving away",""
"eating",""
"embracing","https://iconclass.org/33A14"
"emerging from the water",""
"encircling",""
"endeavoring to dispel the wisps of mist",""
"erecting",""
"falling",""
"falling off",""
"feeding",""
"fighting","https://iconclass.org/33B3"
"fighting with clubs",""
"fighting with teeth",""
"fighting with the force of muscular arms",""
"finger covering the mouth",""
"finishing a dress",""
"fishing",""
"fleeting movement",""
"floating in the air",""
"floating over",""
"flogging",""
"flying",""
"flying towards",""
"following the musicians",""
"frolicing around",""
"galloping",""
"gathering",""
"gathering flowers",""
"glancing heavenward",""
"gnawing away",""
"going to eat",""
"going to hurl the trident",""
"grabbing",""
"grabbing a spear and a tuft of hair",""
"grabbing and lifting a woman",""
"grabbing with both hands",""
"grabbing with one hand",""
"greeting",""
"hand raised to the heart",""
"handling",""
"haunting",""
"help a man to his feet",""
"helping","https://iconclass.org/33A61"
"hiding with the right hand",""
"hit by",""
"holding",""
"holding a book",""
"holding a globe",""
"holding a nosegay",""
"holding a rose to her face",""
"holding a wreath",""
"holding aloft",""
"holding in her arms",""
"holding on her lap",""
"holding up",""
"holding with a hand",""
"holding with the left hand",""
"holding with the other hand",""
"holding with the right hand",""
"hovering in mid-air",""
"hurling",""
"illuminating",""
"imprisoning",""
"indicating the ceiling with the right hand",""
"interweaving",""
"kicking","https://iconclass.org/33B32"
"killing","https://iconclass.org/33B6"
"killing a serpent",""
"killing herself with a spear",""
"kneeing",""
"lamenting over a body",""
"laying",""
"leading by hand",""
"leaning on her shoulder",""
"leaning upon",""
"lending both hands to a woman",""
"lending one hand to a man",""
"licking",""
"lifting",""
"lifting a woman",""
"lifting one hand",""
"lifting with one hand",""
"looking at",""
"looking at each other",""
"looking at the angel",""
"looking at the sky",""
"looking down at his right",""
"looking on",""
"looking out of a window",""
"loving",""
"making a terrific noise",""
"making fun of",""
"mating",""
"mirroring herself",""
"mourning",""
"not burning",""
"nursing",""
"offering",""
"offering with the left hand",""
"painting from life",""
"paying no attention to the fire",""
"peeing through a wreath",""
"playing",""
"playing music",""
"playing with",""
"pointing at",""
"preparation for the boiling of a pig",""
"pressing with feet",""
"prompting",""
"protecting herself against the smoke",""
"protecting himself against the smoke",""
"protecting people below",""
"pulling out from",""
"putting one hand to his mouth",""
"putting up",""
"raising",""
"raising an arm",""
"raising arms upwards",""
"raising open hands to chest height",""
"raising the right arm",""
"raising the right arm halfway",""
"raising the right hand",""
"raping","https://iconclass.org/33C491 @ https://iconclass.org/33C49"
"raping a woman",""
"reading",""
"removing",""
"rescuing","https://iconclass.org/33A6"
"resting",""
"resting one foot on a globe",""
"revealing a secluded space",""
"riding a bull",""
"riding a horse",""
"riding a mule",""
"riding on",""
"right hand on the heart",""
"running","https://iconclass.org/33B9"
"sexually embracing",""
"shooting an arrow",""
"sinking",""
"sitting down",""
"sitting on",""
"sleeping",""
"smearing the face of a man",""
"snuggling in her lap",""
"speaking",""
"standing on",""
"standing on a horse",""
"standing on the ground",""
"stealing",""
"stepping on",""
"stirring water",""
"stopping",""
"straying",""
"stretching out the left hand",""
"support oneself with",""
"supporting",""
"taking",""
"taking aim",""
"taking shelter in barrel",""
"taking the arm of the girl",""
"taking the hand of",""
"tearing her hair",""
"tearing their hair",""
"tendering",""
"threatening","https://iconclass.org/33B14"
"throwing",""
"throwing up their arms",""
"touching breast",""
"treading",""
"turning",""
"turning of the head to the side of the supporting leg",""
"turning of the head toward the side of the free leg",""
"twisting",""
"twisting around",""
"tying",""
"unveiling",""
"visiting","https://iconclass.org/33A3"
"wearing",""
"wiggling out of serpents",""
"working",""
"working metals",""
"writing",""
"barkling",""
