"Personification","Link"
"Aion/Phanes as personification of eternal time",""
"Amor",""
"Amor Carnalis",""
"Amor Divino",""
"Ardor",""
"Atlas",""
"Aurora","https://iconclass.org/23R110"
"Avarice",""
"Beauty",""
"Blind Death",""
"Blind Night",""
"Blind Synagogue",""
"Catholic Faith",""
"Charity","https://iconclass.org/11I63(RAHAB)31"
"Chastity",""
"Christian Virtues",""
"Church","https://iconclass.org/11P11"
"Concord",""
"Contemplative mind",""
"Crepuscolo",""
"Day",""
"Death",""
"Discord",""
"Divine Justice",""
"Earth","https://iconclass.org/11S0"
"Eros as the great force ruling over the instincts of gods, man and animals","http://www.iconclass.org/rkd/92D142/"
"Evil effects of Love",""
"Faith",""
"Fame",""
"Flora",""
"Folly",""
"Fortune",""
"Four Seasons",""
"Fraude",""
"Furor poeticus",""
"Futile and treacherous pleasure",""
"Good Counsel",""
"Grace",""
"Grace Pulchritudo",""
"Hope",""
"Human Mind",""
"Humility",""
"Idolatry",""
"Ignis elementatus",""
"Innocence",""
"Integrity",""
"Jealousy",""
"Justice",""
"Kairos","http://www.iconclass.org/rkd/54B121/"
"Labour",""
"Life",""
"Lost Occasio",""
"Love",""
"Luxury",""
"Marital Affection",""
"Mockery",""
"Moon",""
"Mourning",""
"Nature",""
"Night",""
"nude Prudence",""
"Occasio",""
"Oceanus",""
"Penitentia",""
"Personification of the natural forces stimulating the action of the unconscious creatures",""
"Personification of Time as an abstract principle (temps)",""
"Platonic love",""
"Pleasure",""
"Poverty",""
"Pride",""
"Prudence",""
"Reason",""
"Regret",""
"river Alpheus",""
"River Gods","https://iconclass.org/25H2130"
"river Pactolus",""
"Saturn (planet)","http://www.iconclass.org/rkd/24C17/"
"Saturn and his Children","http://www.iconclass.org/rkd/24C211/"
"Seven Capital Sins",""
"Sleep",""
"Spring",""
"Sun",""
"Sun on his chariot",""
"Synagogue","http://www.iconclass.org/rkd/12A0/"
"Tellus",""
"The Constellation Eridanus",""
"The Constellation Hercules",""
"The Constellation Hercules (Engonasin)",""
"The Constellation Orion",""
"The Constellation Perseus",""
"The right",""
"The Twins constellation",""
"The Virgin Constellation",""
"The three Graces-three aspects of Venus",""
"Three stages of human life",""
"Time",""
"Time (Ripa)","http://www.iconclass.org/rkd/23A11/"
"Time as a cosmic power",""
"Time as universal cosmic principle",""
"Time the Destroyer",""
"Time the Revealer",""
"Truth",""
"Two out of the four rivers of Hades",""
"Two out of the four Times of day",""
"Victories",""
"Victory",""
"Virtue",""
"Vita Activa",""
"Vita Contemplativa",""
"Voluptas",""
"Wealth",""
"Winds",""
"Zephir",""
"Jest",""
"Fortitude",""
